state,county,plant_count,generator_count,operable_nameplate_capacity_mw,operable_summer_capacity_mw,operable_winter_capacity_mw,dominant_primary_fuel_code
FL,Gilchrist,4,4,235.3,235.3,235.3,SUN
FL,Gulf,1,1,5.5,5.5,5.5,MWH
FL,Hamilton,5,4,174.1,171.2,171.2,SUN
FL,Hardee,6,19,2201.2,1968.8,2135.8,NG
FL,Hendry,13,11,645,640.6,640.7,SUN
FL,Hernando,1,1,1.6,1.6,1.6,LFG
FL,Highlands,6,2,62.3,62.3,62.3,MWH
FL,Hillsborough,29,46,4930.7,4348.5,4661.5,SUN
FL,Indian River,6,5,372.5,372.5,372.5,SUN
FL,Jackson,6,9,228.3,228.3,228.3,SUN
FL,Jefferson,1,0,0,0,0,
FL,Lake,4,4,23.6,20.8,20.4,SUN
FL,Lee,2,16,2739.9,2790.5,2811,NG
FL,Leon,5,13,753.7,564.9,598.9,NG
FL,Levy,4,1,74.9,74.9,74.9,SUN
FL,Madison,4,2,149.4,149.4,149.4,SUN
FL,Manatee,13,16,3928.5,3712.5,3868.5,SUN
FL,Marion,1,2,2.4,2.3,2.3,LFG
FL,Martin,6,14,2672,2432.5,2560.5,SUN
FL,Miami Dade,11,31,3070.9,3158.4,3241.3,SUN
FL,Monroe,4,11,137.5,125.5,125.5,DFO
FL,Nassau,5,6,235,217.9,217.9,NG
FL,Okaloosa,3,3,179,179,179,SUN
FL,Okeechobee,10,9,2095.6,2095.6,2095.6,SUN
FL,Orange,12,22,2222,2141,2166,SUN
FL,Osceola,10,34,2720.2,2325.7,2601.7,SUN
FL,Palm Beach,11,32,6167.4,5623.9,6068.9,SUN
FL,Pasco,6,8,1809.4,1618.8,1686.2,NG
FL,Pinellas,6,18,1784.1,1509.8,1726.8,DFO
FL,Polk,33,89,6716.7,6013.5,6303.3,SUN
FL,Putnam,10,13,2499.5,2326.3,2365.5,SUN
FL,Santa Rosa,5,8,477.6,436.9,450.7,SUN
FL,Sarasota,1,4,6.4,6.4,6.4,LFG
FL,Seminole,2,4,6.3,6.3,6.3,SUN
FL,St Johns,1,1,74.5,74.5,74.5,SUN
FL,St Lucie,16,13,3241.9,2956.5,3012.6,SUN
FL,Suwannee,5,8,460.8,408.1,457.1,SUN
FL,Taylor,2,1,5.1,5.1,5.1,SUN
FL,Union,1,1,74.5,74.5,74.5,SUN
FL,Volusia,9,24,3324.4,3069.8,3234.8,SUN
FL,Wakulla,1,2,270.1,226,258,NG
FL,Walton,6,3,223.5,223.5,223.5,SUN
FL,Washington,1,1,74.5,74.5,74.5,SUN
GA,,7,0,0,0,0,
GA,Appling,2,3,1873,1784,1784,SUN
GA,Bacon,3,0,0,0,0,
GA,Baldwin,2,2,45,43.8,43.8,WAT
GA,Barrow,2,4,8.6,8.3,8.3,SUN
GA,Bartow,3,8,3587.8,3274.6,3274.6,WAT
GA,Bibb,5,11,210.5,213.45,213.45,SUN
GA,Bleckley,2,2,4.3,4.3,4.3,SUN
GA,Brooks,2,2,300,300,300,SUN
GA,Bryan,1,1,1.9,1.9,1.9,SUN
GA,Bulloch,5,5,14.6,14.6,14.6,SUN
GA,Burke,7,16,5166.5,5018.4,5087.4,SUN
GA,Camden,2,13,60,60.2,60.2,SUN
GA,Candler,2,1,51,51,51,SUN
GA,Charlton,1,1,2.1,2.1,2.1,SUN
GA,Chatham,8,18,246.6,246.2,246.3,BLQ
GA,Chattooga,1,1,2.4,2.4,2.4,SUN
GA,Cherokee,1,0,0,0,0,
GA,Clarke,3,9,8.5,8.3,8.3,DFO
GA,Clay,2,5,274,274,274,SUN
GA,Cobb,4,15,2853,2539.5,2793.1,NG
GA,Colquitt,2,2,21.4,21.6,21.4,SUN
GA,Columbia,3,10,21,15.4,18.6,SUN
GA,Coweta,1,2,807.4,714,714,NG
GA,DeKalb,4,7,7.1,6.6,6.6,DFO
GA,Decatur,7,9,637,630,635.8,SUN
GA,Dougherty,7,9,216.8,212.4,212.3,SUN
GA,Douglas,1,1,3,3,3,SUN
GA,Early,5,6,295.2,284,294,SUN
GA,Effingham,7,24,2956,2663.7,2847.8,NG
GA,Elbert,2,9,668,704,704,WAT
GA,Emanuel,2,1,2.9,2.9,2.9,SUN
GA,Fannin,1,2,23.5,17.3,14.7,WAT
GA,Fayette,1,0,0,0,0,
GA,Floyd,3,7,918.2,1096,1095,BLQ
GA,Forsyth,1,3,131.2,126.8,126.6,WAT
GA,Franklin,2,2,61,61,61,SUN
GA,Fulton,14,53,71.5,64,65.1,DFO
GA,Glynn,3,14,650.2,506.2,605.2,BLQ
GA,Gordon,2,2,5.4,5.4,5.4,SUN
GA,Grady,1,1,2,2,2,SUN
GA,Greene,1,1,3,3,3,SUN
GA,Gwinnett,2,5,11.2,10.8,10.8,LFG
GA,Habersham,2,10,116.8,124.9,125.3,WAT
GA,Hancock,2,6,321.2,328,327.4,WAT
GA,Harris,2,2,4.4,4.4,4.4,SUN
GA,Hart,2,7,780,702.5,758,NG
GA,Heard,6,21,3967,3513.4,3782,NG
GA,Houston,5,7,576.6,532.8,585.8,LFG
GA,Jackson,1,10,919,745.6,876.2,NG
GA,Jasper,1,6,14.4,22.8,22.8,WAT
GA,Jeff Davis,6,6,412.5,412.5,412.5,SUN
GA,Jefferson,2,1,1,1,1,SUN
GA,Jenkins,1,1,19.7,19.7,19.7,SUN
GA,Lamar,1,1,60,55,55,WDS
GA,Lanier,1,2,1.8,1.8,1.8,SUN
GA,Laurens,3,3,86.2,88.1,90.1,SUN
GA,Lee,3,3,290,290,290,SUN
GA,Liberty,3,2,44.5,44.5,44.5,SUN
GA,Lowndes,11,19,143.5,143.7,143.6,SUN
GA,Macon,3,3,157,157,157,SUN
GA,Madison,2,2,60,60.2,60.2,SUN
GA,McDuffie,1,0,0,0,0,
GA,Meriwether,3,3,6.4,6.4,6.6,SUN
GA,Mitchell,8,9,701,667.4,669,SUN
GA,Monroe,4,5,2915,2770.4,2798.2,SUB
GA,Montgomery,2,2,330,330,330,SUN
GA,Morgan,1,1,1.4,1.4,1.4,WAT
GA,Murray,4,12,1701.5,1922.5,1982.5,SUN
GA,Muscogee,3,9,91.1,94.9,94.5,WAT
GA,Oconee,1,0,0,0,0,
GA,Oglethorpe,2,1,38,38,38,SUN
GA,Peach,1,1,10.8,10.8,10.8,SUN
GA,Pierce,2,1,1.9,1.9,1.9,SUN
GA,Polk,7,8,580.2,456,521.6,SUN
GA,Putnam,4,3,6.6,6.6,6.6,SUN
GA,RABUN,1,1,17.9,18,18,WDS
GA,Rabun,3,6,26.8,33.2,32.4,WAT
GA,Randolph,1,1,80,80,80,SUN
GA,Richland,1,1,1,0.9,0.9,SUN
GA,Richmond,8,14,128,122.2,122.6,SUN
GA,Saminole,1,1,1.6,1.6,1.6,SUN
GA,Spalding,1,3,6.6,6.3,6.3,LFG
GA,Stephens,1,3,22.5,28.5,28.8,WAT
GA,Stewart,1,1,100,100,100,SUN
GA,Sumter,2,2,3.2,3.2,3.2,SUN
GA,Talbot,2,7,791,637.4,746.1,MWH
GA,Tattnall,2,2,4.1,4.1,4.1,SUN
GA,Taylor,7,13,413.7,402.2,402.2,SUN
GA,Telfair,1,1,1.9,1.9,1.9,SUN
GA,Terrell,3,3,77.6,77.6,77.6,SUN
GA,Thomas,1,1,1.4,1.4,1.4,SUN
GA,Tift,3,3,7.8,7.8,7.8,SUN
GA,Troup,3,5,77.1,90.8,90.8,SUN
GA,Twiggs,3,4,226.8,226.8,226.8,SUN
GA,Union,1,2,15.9,20.1,19.3,WAT
GA,Upson,3,6,705,595.7,696.5,SUN
GA,Walton,8,14,1325.7,1104.6,1264.8,SUN
GA,Ware,3,3,84.9,84.9,84.9,SUN
GA,Warren,2,1,80,80,80,SUN
GA,Washington,5,14,1645.3,1357.5,1580.3,NG
GA,Wayne,3,5,72.1,67.3,68,BLQ
GA,Whitfield,1,1,1.1,1.1,1.1,SUN
GA,Wilcox,3,0,0,0,0,
GA,Wilkinson,2,2,5.3,5.3,5.3,SUN
GA,Worth,2,7,39.7,34.2,34.2,NG
HI,Hawaii,19,46,418.2,386.6,390,DFO
HI,Honolulu,45,73,2377,2239.47,2239.27,SUN
HI,Kauai,13,32,280.2,254.8,254.8,SUN
HI,Maui,16,72,523.1,488.3,488.3,DFO
IA,Adair,17,23,1151.7,1139.6,1139.7,WND
IA,Adams,4,9,204.8,200.5,200.5,WND
IA,Allamakee,2,2,2.1,2.1,2.1,DFO
IA,Appanoose,2,1,7.9,7.9,7.9,WND
IA,Audubon,3,5,485,443.6,443.6,WND
IA,BREMER,1,3,5.4,5.4,5.4,DFO
IA,Benton,1,7,17.5,17.2,17.2,NG
IA,Black Hawk,8,22,394.4,321.6,346.4,NG
IA,Boone,4,7,347.9,348,348,WND
IA,Bremer,4,18,74.8,73.2,73.2,WND
IA,Buchanan,1,1,1.8,1.1,1.1,DFO
IA,Buena Vista,4,8,373.6,361.7,361.9,WND
IA,Carroll,5,12,298.1,282.7,283,WND
IA,Cass,6,10,502.2,460.8,461.2,WND
IA,Cedar,3,8,19.7,19.5,19.5,DFO
IA,Cerro Gordo,5,8,784.5,695.4,794,WND
IA,Cherokee,1,1,211.7,200,200,WND
IA,Chickasaw,2,6,228.9,224.1,224.1,WND
IA,Clay,3,4,442.2,429.8,437.3,NG
IA,Clayton,4,5,6.4,6.4,6.4,DFO
IA,Clinton,3,2,180,180,180,SUB
IA,Crawford,3,2,101.8,101.8,101.8,WND
IA,Dallas,1,1,1,1,1,SUN
IA,Davis,2,7,10.1,8.5,8.5,NG
IA,Decatur,1,8,10.5,10,10.1,DFO
IA,Delaware,5,6,110,108.3,108.3,WND
IA,Des Moines,2,5,290.8,177.5,179.8,NG
IA,Dickinson,5,10,164.5,164.5,164.5,WND
IA,Dubuque,6,18,27.1,25.7,25.5,DFO
IA,Emmet,2,6,17.3,14.6,14.8,NG
IA,Floyd,3,6,118.9,110.3,112.9,WND
IA,Franklin,5,5,508.8,508.4,508.4,WND
IA,GUTHRIE,1,3,4.5,4.5,4.5,DFO
IA,Greene,4,4,74.4,74.4,74.4,WND
IA,Grundy,4,6,242.5,239.3,239.3,DFO
IA,Guthrie,2,4,209.9,202.7,202.7,WND
IA,Hamilton,4,6,451.9,447.2,451.5,WND
IA,Hancock,3,3,448,447,447,WND
IA,Hardin,2,2,153,153,153,WND
IA,Henry,3,17,33.5,33.5,33.5,DFO
IA,Howard,3,3,166.6,166.6,166.6,WND
IA,Ida,2,5,502.1,500,500,WND
IA,Iowa,3,13,274.1,271.6,271.6,DFO
IA,Jackson,5,23,47,40.8,41.8,DFO
IA,Johnson,5,18,124.3,115.7,121.1,NG
IA,Kossuth,8,12,462.3,455.2,455.2,WND
IA,Lee,4,19,359.2,380,378,WAT
IA,Linn,22,41,760.4,701.7,715.2,DFO
IA,Louisa,2,2,911.9,845.6,855,SUB
IA,Lucas,1,1,2.3,2.3,2.3,SUN
IA,Lyon,1,1,2.5,2.5,2.5,DFO
IA,Madison,2,9,137.2,137.2,137.2,WND
IA,Mahaska,1,1,168,169,169,WND
IA,Marion,5,25,100.3,97.3,97.3,DFO
IA,Marshall,7,23,1189.1,1110.8,1179.9,DFO
IA,Mitchell,5,10,521.2,519.8,519.18,WND
IA,Monroe,1,2,40,36.7,36.8,NG
IA,Montgomery,1,2,4,4,4,DFO
IA,Muscatine,6,13,303,274.7,275.7,DFO
IA,O'Brien,3,11,754.3,752.3,752.3,WND
IA,Osceola,6,11,167.4,164.7,168.8,WND
IA,Page,2,10,20,20,20,DFO
IA,Palo Alto,5,10,374.3,373.2,373.2,WND
IA,Plymouth,1,1,202.7,200,200,WND
IA,Pocahontas,4,12,379.5,389,389,DFO
IA,Polk,8,31,1065.6,934.44,1076.4,NG
IA,Pottawattamie,2,3,1813.5,1661.7,1661.7,WND
IA,Poweshiek,9,15,532.8,532,532.2,DFO
IA,Sac,2,2,210.9,210.9,210.9,WND
IA,Scott,3,3,2.6,2.6,2.6,OBG
IA,Shelby,1,2,3.4,3.2,3.2,DFO
IA,Story,18,33,431.2,393.3,374.3,WND
IA,Tama,5,7,11,10.5,10.5,DFO
IA,Taylor,4,8,122.1,119.4,119.5,WND
IA,Union,4,7,422.8,411.8,422.9,SUN
IA,Wapello,2,4,729.1,702.9,719.5,SUB
IA,Warren,1,2,40.9,42.2,47,DFO
