state,state_name,place_name,census_name,geoid,population_2024,latitude,longitude,coordinate_source,geometry_precision,matched_town_hall_rows_with_coordinates,population_per_town_hall,land_area_sqmi,water_area_sqmi,match_status,source_population_dataset,source_coordinate_dataset,dominant_people_profile,town_hall_name,town_hall_address,town_hall_locality,town_hall_latitude,town_hall_longitude
TX,Texas,Pottsboro,Pottsboro town,4859132,2780,33.763234,-96.659817,town_hall,point,3,926.67,3.155,0.,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,City of pottsboro,528 E Fm 120,"Pottsboro, TX 75076",33.763234,-96.659817
TX,Texas,Powell,Powell town,4859168,111,32.109941,-96.321975,census_place_centroid,point,0,,1.21,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Poynor,Poynor town,4859192,290,32.079342,-95.592372,census_place_centroid,point,0,,2.361,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Prairie View,Prairie View city,4859336,8662,30.082855,-95.977134,census_place_centroid,point,0,,7.404,0.001,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Premont,Premont city,4859384,2401,27.359657,-98.124935,town_hall,point,1,2401.00,1.694,0.,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,"Premont, City",200 SW 1st St,"Premont, TX 78375",27.359657,-98.124935
TX,Texas,Presidio,Presidio city,4859396,3047,29.560348,-104.365302,census_place_centroid,point,0,,2.575,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Primera,Primera town,4859540,5449,26.223216,-97.751692,census_place_centroid,point,0,,2.777,0.001,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Princeton,Princeton city,4859576,37019,33.180978,-96.498050,town_hall,point,3,12339.67,14.118,0.106,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,City Of Princeton,323 McKinney Ave,"Princeton, TX 75407",33.180978,-96.498050
TX,Texas,Progreso,Progreso city,4859636,5182,26.09614,-97.956592,census_place_centroid,point,0,,2.995,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Progreso Lakes,Progreso Lakes city,4859642,275,26.068976,-97.960665,census_place_centroid,point,0,,2.097,0.093,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
